GlobalID,SeriesID,LocalID,SpellcardName,Score,Comment
3,TH06,1,暗符「境界线」,1,
4,TH06,2,雹符「冰雹暴风」,1,
5,TH06,2,冻符「完美冻结」,1,
6,TH06,2,雪符「钻石风暴」,1,
7,TH06,3,华符「卷柏9」,1,
9,TH06,3,幻符「华想梦葛」,2,
10,TH06,3,彩符「彩光乱舞」,2,
11,TH06,3,彩符「极彩台风」,2,
12,TH06,4,火符「火神之光 上级」,2,
13,TH06,4,土符「三石塔的震动」,2,
14,TH06,4,火&土符「环状熔岩带」,3,
15,TH06,4,金&水符「水银之毒」,2,
16,TH06,4,木&火符「森林大火」,2,
17,TH06,4,水符「湖葬」,2,
18,TH06,4,木符「翠绿风暴」,2,
19,TH06,4,水&木符「水之精灵」,2,
20,TH06,4,土&金符「翡翠巨石」,3,
21,TH06,4,木符「风灵角笛 上级」,3,
22,TH06,4,火符「火神之光辉」,3,
23,TH06,4,土符「慵懒三石塔 上级」,2,
24,TH06,4,金符「银龙」,2,
25,TH06,5,奇术「幻惑诱导」,1,
26,TH06,5,幻幽「迷幻杰克」,1,
27,TH06,5,幻世「世界」,2,
28,TH06,5,女仆秘技「杀人玩偶」,3,
29,TH06,6,奇术「永恒的温柔」,2,禁卡安定
30,TH06,6,神罚「幼小的恶魔领主」,2,
31,TH06,6,狱符「千根针的针山」,2,
32,TH06,6,神术「吸血鬼幻想」,2,
33,TH06,6,红符「绯红之主」,3,
34,TH06,6,「红色的幻想乡」,4,
35,TH06,EX,月符「沉静的月神」,2,
37,TH06,EX,火水木金土符「贤者之石」,2,
40,TH06,EX,禁忌「四重存在」,2,
41,TH06,EX,禁忌「笼中鸟」,1,
47,TH06,EX,QED「495年的波纹」,3,
51,TH07,2,仙符「凤凰展翅」,1,
52,TH07,2,阴阳「晴明大纹」,1,
53,TH07,2,童符「护法天童乱舞」,1,
54,TH07,2,方符「奇门遁甲」,2,
55,TH07,3,操符「少女文乐」,1,
56,TH07,3,苍符「博爱的奥尔良人偶」,1,
57,TH07,3,白符「白垩的俄罗斯人偶」,1,
58,TH07,3,雅符「春之京都人偶」,1,
59,TH07,3,诅咒「上吊的蓬莱人偶」,2,
61,TH07,4,伪弦「Pseudo Stradivarius」,2,
62,TH07,4,管灵「Ghost Clifford」,1,
63,TH07,4,键灵「蓓森朵芙神奏」,1,
64,TH07,4,骚葬「幽冥河畔」,1,
65,TH07,4,大合葬「灵车大协奏曲怪」,2,
66,TH07,5,饿王剑「饿鬼十王的报应」,2,
67,TH07,5,狱神剑「业风神闪斩」,2,
68,TH07,5,修罗剑「现世妄执」,2,
69,TH07,5,人神剑「俗谛常住」,1,
70,TH07,5,天神剑「三魂七魄」,2,
72,TH07,6,亡乡「亡我乡 -自尽-」,1,
73,TH07,6,亡舞「生者必灭之理 -魔镜-」,2,
74,TH07,6,华灵「蝶妄想」,1,
76,TH07,6,樱符「完全墨染的樱花 -开花-」,3,
77,TH07,6,「反魂蝶 -八分咲-」,3,
78,TH07,EX,鬼符「青鬼赤鬼」,1,
82,TH07,EX,式辉「狐狸妖怪激光」,1,
84,TH07,EX,式辉「天狐公主-Illusion-」,2,
86,TH07,EX,式弹「片面接触」,1,
87,TH07,EX,式神「橙」,2,
92,TH07,PH,结界「梦境与现实的诅咒」,1,
94,TH07,PH,结界「光明与黑暗的网目」,2,
95,TH07,PH,罔两「直与曲的梦乡」,1,
98,TH07,PH,魍魉「二重黑死蝶」,2,
99,TH07,PH,式神「八云蓝」,2,
106,TH08,1,隐虫「永夜蛰居」,1,
107,TH08,2,声符「木菟的咆哮」,1,
108,TH08,2,猛毒「毒蛾的黑暗演舞」,2,
109,TH08,2,鹰符「祸延疾冲」,1,
110,TH08,2,夜盲「夜雀之歌」,1,
111,TH08,2,夜雀「午夜中的合唱指挥」,2,
112,TH08,3,产灵「最初的金字塔」,1,
113,TH08,3,始符「短命的137」,2,
114,TH08,3,野符「GHQ的危机」,1,
115,TH08,3,国体「三种神器 乡」,1,
116,TH08,3,虚史「幻想乡传说」,1,
117,TH08,3,未来「高天原」,1,
118,TH08,4,梦境「二重大结界」,2,
119,TH08,4,散灵「梦想封印 寂」,2,
120,TH08,4,神技「八方龙杀阵」,2,
121,TH08,4,回灵「梦想封印 侘」,2,
122,TH08,4,大结界「博丽弹幕结界」,1,
123,TH08,4,神灵「梦想封印 瞬」,4,
124,TH08,4,魔空「小行星带」,3,
125,TH08,4,黑魔「黑洞边缘」,1,
127,TH08,4,恋心「二重火花」,2,
128,TH08,4,光击「射月」,2,
129,TH08,4,魔炮「超究极火花」,2,
130,TH08,5,幻波「赤眼催眠」,1,
131,TH08,5,狂视「狂视调律」,2,
132,TH08,5,懒惰「生神停止」,2,
133,TH08,5,散符「真实之月」,2,
134,TH08,5,月眼「月兔远隔催眠术」,2,
135,TH08,6,天丸「壶中的天地」,1,
136,TH08,6,神符「天人的族谱」,2,
137,TH08,6,苏生「生命游戏」,2,
138,TH08,6,神脑「思兼的头脑」,1,提示：使用红魔组或蕾米
139,TH08,6,天咒「阿波罗」,2,
141,TH08,6,禁药「蓬莱之药」,5,
142,TH08,6,药符「壶中的大银河」,1,
143,TH08,6,神宝「耀眼的龙玉」,2,
144,TH08,6,神宝「佛体的金刚石」,1,提示：使用咏唱组
145,TH08,6,神宝「火蜥蜴之盾」,1,
146,TH08,6,神宝「无限的生命之泉」,1,提示：使用幽冥组或幽幽子
147,TH08,6,神宝「蓬莱的玉枝 -梦色之乡-」,3,
148,TH08,6,「永夜归返 -待宵-」,1,
149,TH08,6,「永夜归返 -子时四刻-」,2,
150,TH08,6,「永夜归返 -丑时四刻-」,1,
151,TH08,6,「永夜归返 -寅时四刻-」,2,
152,TH08,6,「永夜归返 -世间开明-」,3,
154,TH08,EX,转世「一条归桥」,1,
156,TH08,EX,时效「月岩笠的诅咒」,2,
162,TH08,EX,不灭「不死鸟之尾」,2,
163,TH08,EX,蓬莱「凯风快晴 -富士山-」,2,
168,TH10,1,秋符「无常秋日与少女的心」,1,
169,TH10,1,丰收「谷物神的允诺」,1,
170,TH10,2,厄符「厄神大人的生理节律」,1,
171,TH10,2,疵痕「损坏的护符」,1,
172,TH10,2,悲运「大钟婆之火」,1,
173,TH10,2,创符「流放人偶」,1,
174,TH10,3,光学「水迷彩」,2,
175,TH10,3,漂溺「粼粼水底之心伤」,1,
176,TH10,3,水符「河童的幻想大瀑布」,1,
177,TH10,3,河童「水皿旋转」,2,
178,TH10,4,歧符「猿田彦神之岔路」,2,
179,TH10,4,风神「二百十日」,2,
