GlobalID,SeriesID,LocalID,SpellcardName,Score,Comment
1,TH06,1,夜符「夜雀」,1,
2,TH06,1,暗符「境界线」,1,
3,TH06,2,冰符「冰瀑」,1,
4,TH06,2,冻符「完美冻结」,2,
5,TH06,2,雪符「钻石风暴」,1,
6,TH06,3,华符「芳华绚烂」,1,
7,TH06,3,虹符「彩虹的风铃」,1,
8,TH06,3,彩符「彩雨」,2,
9,TH06,3,彩符「极彩台风」,2,
10,TH06,4,魔法阵,3,
11,TH06,5,奇术「误导」,4,"满p,收取限定"
12,TH06,5,奇术「误导」,7,"0p,收取限定"
13,TH06,5,幻在「时钟遗骸」,3,
14,TH06,5,幻象「月神之钟」,3,
15,TH06,5,女仆秘技「操弄玩偶」,6,
16,TH06,6,奇术「永恒的温柔」,6,限定收取，禁卡安定
17,TH06,6,天罚「大卫之星」,4,
18,TH06,6,冥符「红色的冥界」,6,
19,TH06,6,诅咒「Vlad Tepes的诅咒」,5,
20,TH06,6,红符「深红射击」,6,
21,TH06,6,「Red Magic」,7,
22,TH06,4,火&土符「环状熔岩带」,2,
23,TH06,4,金&水符「水银之毒」,2,
24,TH06,4,水符「水精公主」,5,
25,TH06,4,木符「风灵角笛 上级」,5,
26,TH06,4,水&木符「水之精灵」,3,
27,TH06,4,木符「风灵角笛」,4,
28,TH06,4,火符「火神之光 上级」,3,
29,TH06,4,木&火符「森林大火」,2,
30,TH06,4,土&金符「翡翠巨石」,3,
31,TH06,4,土符「慵懒三石塔」,3,
32,TH06,4,金符「金属疲劳」,2,
33,TH07,1,寒符「延长的冬日」,1,
34,TH07,1,冬符「花之凋零」,1,
35,TH07,2,仙符「凤凰卵」,2,
36,TH07,2,式符「飞翔晴明」,2,
37,TH07,2,天符「天仙鸣动」,2,
38,TH07,2,仙符「尸解永远」,2,
39,TH07,3,苍符「博爱的法兰西人偶」,2,
40,TH07,3,红符「红发的荷兰人偶」,1,
41,TH07,3,暗符「雾之伦敦人偶」,4,
42,TH07,3,诅咒「魔彩光的上海人偶」,2,
43,TH07,4,骚符「幽灵絮语」,3,
44,TH07,4,梅露兰一非,5,限定梦A
45,TH07,4,弦奏「Guarneri del Gesù」,3,
46,TH07,4,莉莉卡一非,6,全避+1分
47,TH07,4,管灵「Hino Phantasm」,4,
